Description,Image,Gender,Specifications
Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24357700/2023/8/5/07a5b0c0-58d1-4939-aeb5-5b8bd3cf39961691231422609CrazymonkUnisexLavenderPrintedPocketsT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Solid Lounge T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12027436/2022/9/15/ea90445c-a37b-43ac-948b-8e291ec78dc31663221311972LevisMenWhiteSolidRoundNeckLoungeT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Neck': 'Round Neck', 'Pattern': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Slim Tropical Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12377258/2024/7/25/ab076c69-6b6d-4445-b87a-f727e99e9e771721903964046-Urbano-Fashion-Men-Teal-Green-Slim-Fit-Tropical-Printed-Pure-1.jpg",men,"{'Fit': 'Slim Fit', 'Length': 'Regular', 'Main Trend': 'Tropical', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Pattern Coverage': 'All-Over'}"
Men Solid Waffle T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16997726/2022/2/17/7e310403-4a7e-4b03-b1d4-93b55d14a4681645083078794-Roadster-Men-Tshirts-4211645083078121-1.jpg",men,"{'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual'}"
Oversized Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24014326/2023/7/14/c3bb4dd9-b557-4602-a885-f77b445645bc1689274870298BULLMERMenBlackTypographyPrintedPocketsT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Print Oversized Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27226100/2024/1/29/0d63dbfd-673d-49d0-be10-751fa0d54c0f1706543722864BULLMERMenTribalPrintedAppliqueT-shirt1.jpg",men,"{'Contact Brand or Retailer for pre-sales product queries': 'Wexfordonline@gmail.com; Ph: 9360357672', 'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Unisex Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25899798/2023/11/16/2324653f-fae2-455f-99b9-85415660e2d81700119381390AeroArmourUnisexOliveGreenT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Oversized Printed T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26858810/2024/3/19/038d09b0-220e-488d-8707-d0b6c1b769991710836863241-NOBERO-Graphic-Printed-Oversized-T-shirt-6021710836863167-7.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Unisex Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25899796/2023/11/16/af34bb62-5712-4a0e-a136-cda710f252f01700119382040AeroArmourUnisexBlackT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1996777/2024/4/8/b8b53722-91ef-4dd4-ade5-337ff56120501712570586979-Roadster-Men-Black-Cotton-Pure-Cotton-T-shirt-64117125705865-1.jpg",men,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24014310/2023/7/14/e0d643e5-05bc-4249-833b-0ddf80440f851689274793057BULLMERMenBeigePrintedV-NeckPocketsT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Solid Lounge T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12027422/2022/9/15/7a4e30f1-809f-4111-9991-6fd07d8832e21663221355704LevisMenCharcoalGreySolidRoundNeckLoungeT-shirts1.jpg",men,"{'Fabric': 'Cotton', 'Neck': 'Round Neck', 'Pattern': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Cotton Regular Fit T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28204808/2024/3/12/02f48e07-835b-4bdf-9f48-aa1bcb25a1ed1710225898577RegularFitT-shirt1.jpg",men,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Polo Collar Lounge Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28138228/2024/8/14/5ac5da7b-b7ed-4fb8-9f82-cd75dc6215a61723609139978-Lux-Cozi-Polo-Collar-Lounge-Tshirts-511723609139421-2.jpg",men,"{'Fabric': 'Cotton Blend', 'Neck': 'Polo Collar', 'Pattern': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Unisex Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25902614/2023/11/16/f83bf853-8043-4225-827c-cedb86644f751700129606629AeroArmourUnisexOliveGreenT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Striped Round Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28727814/2024/4/6/c19682d1-9d4c-4d38-9451-45331bab81851712384125011ManiacMenStripedV-NeckDrop-ShoulderSleevesPocketsT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fabric 2': 'Cotton', 'Fabric 3': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Multi or Variegated Stripes', 'Multipack Set': 'Single', 'Neck': 'Round Neck'}"
Men Polo Collar Lounge T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18389670/2022/5/23/c614fa0f-8a66-4e4f-8ff4-12699befa4091653320196470JackJonesMenRedMandarinCollarT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Neck': 'Polo Collar', 'Pattern': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25902622/2023/11/16/f2f56c22-303a-438a-9fb8-3a1d429ecd991700128251830AeroArmourUnisexYellowT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Unisex Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26684200/2023/12/27/69a6b936-9c20-419f-845a-ae118b607a101703673911746CrazymonkUnisexYellowPrintedT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Pure Cotton Lounge T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19563328/2024/1/17/bbfc631c-58c3-41d9-86cb-57a2f0adee281705488766165-DaMENSCH-NEO-Cool-Pure-Cotton-Pocket-Print-Tank-Top-69717054-1.jpg",men,"{'Fabric': 'Cotton', 'Neck': 'Round Neck', 'Pattern': 'Solid', 'Sleeve Length': 'Sleeveless', 'Sustainable': 'Regular', 'Type': 'Tank', 'Wash Care': 'Machine Wash'}"
Unisex Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24943130/2023/9/25/669d6f12-2250-417a-9645-adb6e931d2361695629010096-Crazymonk-Unisex-Black-Printed-T-shirt-6461695629009797-1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
